id,sku,name,description,category,sub_category,brand,price,cost_price,stock_quantity,is_active,created_at,updated_at
1,BH-00001-11,GlossGlow Vitamin C Serum,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,17.46,9.27,2950,True,2023-06-28 18:03:03,
2,FDSN-00001-59,MunchCo Herbal Tea Box,Premium snacks product by MunchCo. High quality and durable.,Food & Drink,Snacks,MunchCo,22.34,9.68,815,True,2021-10-01 11:17:48,
3,EH-00001-74,Auraloop Smart Doorbell,Premium headphones product by Auraloop. High quality and durable.,Electronics,Headphones,Auraloop,1160.98,576.13,176,False,2023-08-06 09:02:38,
4,HD-00001-60,Serein Lab Throw Pillow Set,Premium decor product by Serein Lab. High quality and durable.,Home,Decor,Serein Lab,449.19,137.65,2882,True,2023-01-04 20:42:12,
5,TO-00001-17,PlayZone Science Kit,Premium outdoor play product by PlayZone. High quality and durable.,Toys,Outdoor Play,PlayZone,128.9,78.31,241,True,2022-12-02 20:39:55,
6,EL-00001-60,Voltix LED Strip,Premium laptops product by Voltix. High quality and durable.,Electronics,Laptops,Voltix,796.89,263.55,3131,True,2022-12-08 14:15:32,
7,BS-00001-83,Velvet Hue Hair Mask,Premium skincare product by Velvet Hue. High quality and durable.,Beauty,Skincare,Velvet Hue,29.69,18.99,4959,True,2022-02-14 09:38:32,
8,EH-00002-84,Auraloop LED Strip,Premium headphones product by Auraloop. High quality and durable.,Electronics,Headphones,Auraloop,661.09,383.46,1131,True,2022-02-25 05:09:25,
9,BS-00002-93,Velvet Hue Hair Mask,Premium skincare product by Velvet Hue. High quality and durable.,Beauty,Skincare,Velvet Hue,140.49,87.24,2600,True,2022-01-03 19:35:47,
10,EL-00002-28,Voltix 4K Webcam,Premium laptops product by Voltix. High quality and durable.,Electronics,Laptops,Voltix,879.32,499.37,3391,True,2024-10-08 08:48:30,
11,FMA-00001-29,DapperCo Leather Belt,Premium men's apparel product by DapperCo. High quality and durable.,Fashion,Men's Apparel,DapperCo,393.97,132.91,1513,False,2023-04-10 02:43:06,
12,TBG-00001-88,GameCraft Card Game,Premium board games product by GameCraft. High quality and durable.,Toys,Board Games,GameCraft,53.87,20.54,213,True,2025-01-20 18:02:14,
13,EC-00001-93,OpticPro Wireless Earbuds,Premium cameras product by OpticPro. High quality and durable.,Electronics,Cameras,OpticPro,464.4,277.83,4025,True,2022-08-24 10:29:51,
14,ESH-00001-62,NexLink Wireless Earbuds,Premium smart home product by NexLink. High quality and durable.,Electronics,Smart Home,NexLink,923.33,281.85,2210,True,2022-09-23 04:22:03,
15,FDS-00001-18,PureBoost Herbal Tea Box,Premium supplements product by PureBoost. High quality and durable.,Food & Drink,Supplements,PureBoost,18.28,11.59,3598,True,2023-10-07 09:58:24,
16,FDCT-00001-41,BrewRoots Herbal Tea Box,Premium coffee & tea product by BrewRoots. High quality and durable.,Food & Drink,Coffee & Tea,BrewRoots,37.07,21.19,4980,True,2023-08-31 03:19:40,
17,BH-00002-83,GlossGlow Lip Palette,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,92.32,44.67,315,True,2024-11-20 12:57:52,
18,FDS-00002-41,PureBoost Granola Mix,Premium supplements product by PureBoost. High quality and durable.,Food & Drink,Supplements,PureBoost,43.9,19.25,321,True,2021-06-03 03:44:06,
19,EL-00003-66,Voltix USB-C Hub,Premium laptops product by Voltix. High quality and durable.,Electronics,Laptops,Voltix,492.7,200.33,2342,True,2023-07-04 17:31:32,
20,TL-00001-98,BrightMind Plush Bear,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,108.22,37.85,3700,True,2021-12-18 14:41:07,
21,EH-00003-60,Auraloop LED Strip,Premium headphones product by Auraloop. High quality and durable.,Electronics,Headphones,Auraloop,510.93,233.91,1465,True,2022-09-20 09:08:29,
22,BS-00003-42,Velvet Hue Vitamin C Serum,Premium skincare product by Velvet Hue. High quality and durable.,Beauty,Skincare,Velvet Hue,54.02,28.47,1343,True,2021-10-11 07:42:42,
23,SC-00001-67,VeloEdge Jump Rope,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,259.12,85.47,3146,True,2022-05-12 18:59:00,
24,BH-00003-58,GlossGlow Dry Shampoo,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,14.23,5.12,2745,True,2022-04-12 07:30:07,
25,EH-00004-32,Auraloop Portable Charger,Premium headphones product by Auraloop. High quality and durable.,Electronics,Headphones,Auraloop,928.76,295.31,2523,True,2024-10-18 11:25:32,
26,HF-00001-33,NestCraft Desk Lamp,Premium furniture product by NestCraft. High quality and durable.,Home,Furniture,NestCraft,79.36,27.46,1661,False,2023-02-26 09:19:20,
27,SO-00001-73,TrailForce Kettlebell,Premium outdoor product by TrailForce. High quality and durable.,Sports,Outdoor,TrailForce,344.33,168.8,47,True,2023-01-10 01:29:44,
28,EC-00002-68,OpticPro Smart Doorbell,Premium cameras product by OpticPro. High quality and durable.,Electronics,Cameras,OpticPro,506.93,166.17,4916,False,2023-05-15 01:36:12,
29,TBG-00002-81,GameCraft Card Game,Premium board games product by GameCraft. High quality and durable.,Toys,Board Games,GameCraft,165.82,61.8,1514,True,2023-12-21 08:48:18,
30,SF-00001-14,IronPath Pro Bar,Premium fitness product by IronPath. High quality and durable.,Sports,Fitness,IronPath,271.79,161.25,2444,True,2021-06-02 08:02:37,
31,SO-00002-32,TrailForce Jump Rope,Premium outdoor product by TrailForce. High quality and durable.,Sports,Outdoor,TrailForce,77.11,30.81,4873,True,2022-07-06 05:20:21,
32,BH-00004-84,GlossGlow Lip Palette,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,59.15,18.49,2451,True,2021-07-30 05:35:35,
33,FDCT-00002-80,BrewRoots Cold Brew Blend,Premium coffee & tea product by BrewRoots. High quality and durable.,Food & Drink,Coffee & Tea,BrewRoots,9.87,4.59,999,True,2023-10-20 19:34:01,
34,TO-00002-77,PlayZone Card Game,Premium outdoor play product by PlayZone. High quality and durable.,Toys,Outdoor Play,PlayZone,49.87,18.61,476,True,2021-09-30 09:07:47,
35,BH-00005-98,GlossGlow Eye Cream,Premium haircare product by GlossGlow. High quality and durable.,Beauty,Haircare,GlossGlow,93.88,54.06,2352,True,2023-09-11 07:05:51,
36,HF-00002-83,NestCraft Scented Candle,Premium furniture product by NestCraft. High quality and durable.,Home,Furniture,NestCraft,597.06,253.06,1062,True,2025-03-27 10:16:02,
37,BS-00004-88,Velvet Hue Vitamin C Serum,Premium skincare product by Velvet Hue. High quality and durable.,Beauty,Skincare,Velvet Hue,41.05,16.49,1585,False,2024-12-15 08:23:07,
38,FF-00001-36,StepUp Linen Shirt,Premium footwear product by StepUp. High quality and durable.,Fashion,Footwear,StepUp,403.79,262.32,3391,False,2022-10-22 17:03:50,
39,SC-00002-35,VeloEdge Jump Rope,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,280.66,109.19,555,True,2023-10-04 09:30:42,
40,FDS-00003-24,PureBoost Whey Protein,Premium supplements product by PureBoost. High quality and durable.,Food & Drink,Supplements,PureBoost,56.44,23.68,4660,True,2022-06-30 15:51:15,
41,EL-00004-53,Voltix LED Strip,Premium laptops product by Voltix. High quality and durable.,Electronics,Laptops,Voltix,1108.68,518.52,3887,True,2022-02-26 18:32:39,
42,BS-00005-90,Velvet Hue Eye Cream,Premium skincare product by Velvet Hue. High quality and durable.,Beauty,Skincare,Velvet Hue,73.41,44.25,2745,True,2024-07-10 02:34:38,
43,FF-00002-76,StepUp Running Shoes,Premium footwear product by StepUp. High quality and durable.,Fashion,Footwear,StepUp,163.68,90.64,2584,True,2022-10-10 01:10:31,
44,TBG-00003-52,GameCraft Puzzle Set,Premium board games product by GameCraft. High quality and durable.,Toys,Board Games,GameCraft,161.91,98.9,2896,True,2023-05-22 08:36:54,
45,FDS-00004-53,PureBoost Herbal Tea Box,Premium supplements product by PureBoost. High quality and durable.,Food & Drink,Supplements,PureBoost,78.77,40.9,1359,True,2022-08-06 03:59:03,
46,TL-00002-49,BrightMind Building Blocks,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,144.0,59.05,259,True,2025-03-25 07:03:53,
47,EL-00005-67,Voltix Smart Speaker,Premium laptops product by Voltix. High quality and durable.,Electronics,Laptops,Voltix,999.61,405.76,4301,True,2024-03-08 15:32:39,
48,FDS-00005-35,PureBoost Granola Mix,Premium supplements product by PureBoost. High quality and durable.,Food & Drink,Supplements,PureBoost,73.5,33.47,204,True,2022-04-24 16:52:18,
49,EL-00006-71,Voltix Portable Charger,Premium laptops product by Voltix. High quality and durable.,Electronics,Laptops,Voltix,885.62,427.99,2681,True,2021-11-02 06:10:02,
50,FDSN-00002-96,MunchCo Energy Gummies,Premium snacks product by MunchCo. High quality and durable.,Food & Drink,Snacks,MunchCo,79.45,29.54,299,True,2021-12-26 21:21:26,
51,SO-00003-15,TrailForce Pro Bar,Premium outdoor product by TrailForce. High quality and durable.,Sports,Outdoor,TrailForce,279.52,142.0,713,True,2021-11-17 07:54:15,
52,TBG-00004-49,GameCraft Puzzle Set,Premium board games product by GameCraft. High quality and durable.,Toys,Board Games,GameCraft,14.27,8.07,1719,True,2023-06-10 08:00:44,
53,HF-00003-50,NestCraft Throw Pillow Set,Premium furniture product by NestCraft. High quality and durable.,Home,Furniture,NestCraft,465.94,249.23,2233,True,2021-12-22 14:47:09,
54,SC-00003-81,VeloEdge Yoga Mat,Premium cycling product by VeloEdge. High quality and durable.,Sports,Cycling,VeloEdge,212.91,79.27,2869,True,2022-03-16 19:14:30,
55,FMA-00002-83,DapperCo Running Shoes,Premium men's apparel product by DapperCo. High quality and durable.,Fashion,Men's Apparel,DapperCo,137.52,44.69,2774,True,2022-02-09 03:01:15,
56,SO-00004-96,TrailForce Resistance Band Set,Premium outdoor product by TrailForce. High quality and durable.,Sports,Outdoor,TrailForce,34.43,14.95,705,True,2024-10-17 03:57:40,
57,TO-00003-49,PlayZone Magnetic Tiles,Premium outdoor play product by PlayZone. High quality and durable.,Toys,Outdoor Play,PlayZone,73.14,27.01,4370,True,2024-12-17 20:45:47,
58,TL-00003-21,BrightMind Science Kit,Premium learning toys product by BrightMind. High quality and durable.,Toys,Learning Toys,BrightMind,164.44,102.26,3836,True,2024-12-16 22:28:58,
59,BS-00006-38,Velvet Hue Lip Palette,Premium skincare product by Velvet Hue. High quality and durable.,Beauty,Skincare,Velvet Hue,28.41,17.43,2113,True,2022-07-24 15:47:45,
60,FMA-00003-51,DapperCo Wool Coat,Premium men's apparel product by DapperCo. High quality and durable.,Fashion,Men's Apparel,DapperCo,237.58,73.79,3893,True,2024-12-04 00:40:20,
61,FDS-00006-46,PureBoost Herbal Tea Box,Premium supplements product by PureBoost. High quality and durable.,Food & Drink,Supplements,PureBoost,62.6,32.02,1043,True,2021-11-29 09:06:13,
62,HF-00004-93,NestCraft Scented Candle,Premium furniture product by NestCraft. High quality and durable.,Home,Furniture,NestCraft,51.85,21.04,3776,True,2023-01-12 05:27:46,
